Date,MWh
12/27/2012,13942.15
12/27/2012,14942.24
12/27/2012,15700.59
12/27/2012,16373.94
12/27/2012,16823.92
12/27/2012,17036.59
12/27/2012,16988
12/27/2012,16887.45
12/27/2012,16729.86
12/27/2012,16816.38
12/27/2012,17825.91
12/27/2012,18751.67
12/27/2012,18540.86
12/27/2012,17989
12/27/2012,17312.1
12/27/2012,16291.18
12/27/2012,14907.75
12/27/2012,13564.91
12/28/2012,12724.6
12/28/2012,12587.55
12/28/2012,12620.3
12/28/2012,12343.54
12/28/2012,12611.63
12/28/2012,13181.2
12/28/2012,14256.32
12/28/2012,15278.06
12/28/2012,15962.35
12/28/2012,16363.07
12/28/2012,16484.11
12/28/2012,16386.19
12/28/2012,16146.35
12/28/2012,15948.32
12/28/2012,15781.12
12/28/2012,15810.48
12/28/2012,16959.27
12/28/2012,18236.72
12/28/2012,18084.41
12/28/2012,17598.26
12/28/2012,17013.37
12/28/2012,16161.8
12/28/2012,14986.99
12/28/2012,13767.92
12/29/2012,13159.23
12/29/2012,12678.18
12/29/2012,12678.53
12/29/2012,12542.27
12/29/2012,12546.61
12/29/2012,12523.48
12/29/2012,13154.73
12/29/2012,13686.83
12/29/2012,14617.58
12/29/2012,15417.45
12/29/2012,15821.13
12/29/2012,15923.26
12/29/2012,15915.54
12/29/2012,15856.74
12/29/2012,15890.28
12/29/2012,16171.29
12/29/2012,17318.98
12/29/2012,18189.86
12/29/2012,18028.67
12/29/2012,17499.38
12/29/2012,16823.63
12/29/2012,15966.94
12/29/2012,14837.68
12/29/2012,13639.96
12/30/2012,12693.99
12/30/2012,12827.07
12/30/2012,12328.9
12/30/2012,12050.31
12/30/2012,11960.94
12/30/2012,12264.3
12/30/2012,12802.26
12/30/2012,13299.05
12/30/2012,13939.44
12/30/2012,14709.32
12/30/2012,15199.98
12/30/2012,15527.37
12/30/2012,15648.92
12/30/2012,15546.87
12/30/2012,15413.1
12/30/2012,15531.38
12/30/2012,16885.43
12/30/2012,18238.71
12/30/2012,18222.76
12/30/2012,17779.95
12/30/2012,17315.34
12/30/2012,16454.38
12/30/2012,15310.16
12/30/2012,14123.87
12/31/2012,13417.11
12/31/2012,13169.18
12/31/2012,12924.24
12/31/2012,12995.41
12/31/2012,12872.56
12/31/2012,13321.14
12/31/2012,14395.39
12/31/2012,15289.19
12/31/2012,16049.13
12/31/2012,16642.69
12/31/2012,16908.55
12/31/2012,16869.45
12/31/2012,16611.2
12/31/2012,16320.5
12/31/2012,16144.01
12/31/2012,16161.63
12/31/2012,17305.66
12/31/2012,18429.48
12/31/2012,17926.11
12/31/2012,17066.01
12/31/2012,16181.49
12/31/2012,15383.62
12/31/2012,14504.24
12/31/2012,13678.64
1/1/2013,13136.13
1/1/2013,12645.56
1/1/2013,12670.58
1/1/2013,12261.14
1/1/2013,12206.95
1/1/2013,12051.28
1/1/2013,12494.08
1/1/2013,12821.7
1/1/2013,13186.47
1/1/2013,13938.28
1/1/2013,14539.45
1/1/2013,14915.78
1/1/2013,15024.26
1/1/2013,14971.84
1/1/2013,14982.97
1/1/2013,15267.58
1/1/2013,16620.47
1/1/2013,18075.81
1/1/2013,18012.59
1/1/2013,17622.77
1/1/2013,17006.14
1/1/2013,15983.92
1/1/2013,14859.54
1/1/2013,13779.32
1/2/2013,13472.28
1/2/2013,13433.77
1/2/2013,13356.08
1/2/2013,13200.31
1/2/2013,13410.08
1/2/2013,14234.44
1/2/2013,16102.16
1/2/2013,17353.21
1/2/2013,17573.3
1/2/2013,17685.44
1/2/2013,17721.67
1/2/2013,17623.09
1/2/2013,17452.48
1/2/2013,17386.39
1/2/2013,17320.97
1/2/2013,17475.43
1/2/2013,18592.74
1/2/2013,19936.85
1/2/2013,19932.33
1/2/2013,19538.74
1/2/2013,18888.58
1/2/2013,17747.4
1/2/2013,16214.26
1/2/2013,14875.17
1/3/2013,14313.52
1/3/2013,14165
1/3/2013,13996.01
1/3/2013,14133.51
1/3/2013,14635.17
1/3/2013,15075.39
1/3/2013,17049.04
1/3/2013,18283.4
1/3/2013,18459.32
1/3/2013,18410.8
1/3/2013,18359.41
1/3/2013,18138.82
1/3/2013,17810.84
1/3/2013,17619.77
1/3/2013,17449.94
1/3/2013,18063.22
1/3/2013,18769.89
1/3/2013,20033.68
1/3/2013,20087.2
1/3/2013,19693.62
1/3/2013,18964.94
1/3/2013,17778.47
1/3/2013,16161.96
1/3/2013,14918.59
1/4/2013,13778.65
1/4/2013,13545.01
1/4/2013,13555.85
1/4/2013,13592.02
1/4/2013,13852.96
1/4/2013,14446.93
1/4/2013,16299.6
1/4/2013,17418.64
1/4/2013,17570.55
1/4/2013,17592.61
1/4/2013,17495.56
1/4/2013,17281.46
1/4/2013,17010.69
1/4/2013,16821.85
1/4/2013,16670.61
1/4/2013,16678.05
1/4/2013,17539.78
1/4/2013,18664.88
1/4/2013,18492.07
1/4/2013,17941.26
1/4/2013,17306.24
1/4/2013,16411.79
1/4/2013,15213.64
1/4/2013,14002.03
1/5/2013,13466.97
1/5/2013,13118.4
1/5/2013,12909.48
1/5/2013,12771.22
1/5/2013,12837.45
1/5/2013,13225.97
1/5/2013,13736.04
1/5/2013,14042.08
1/5/2013,14770.87
1/5/2013,15302.04
1/5/2013,15516.77
1/5/2013,15467.99
1/5/2013,15257.18
1/5/2013,14971.03
1/5/2013,14856.75
1/5/2013,15109.43
1/5/2013,15929.49
1/5/2013,17363.03
1/5/2013,17380.84
1/5/2013,16954.39
1/5/2013,16496.29
1/5/2013,15816.69
1/5/2013,14853.06
1/5/2013,13715.77
1/6/2013,12850.51
1/6/2013,12445.6
1/6/2013,12669.74
1/6/2013,12566.59
1/6/2013,12421.92
1/6/2013,12666.02
1/6/2013,12899.97
1/6/2013,13498.64
1/6/2013,14101.17
1/6/2013,14738.73
1/6/2013,14998.12
1/6/2013,15054.44
1/6/2013,14989.67
1/6/2013,14808.8
1/6/2013,14668.31
1/6/2013,14804.91
1/6/2013,15993.56
1/6/2013,17521.19
1/6/2013,17543.68
1/6/2013,17033.34
1/6/2013,16403.53
1/6/2013,15273.78
1/6/2013,14011.1
1/6/2013,12875.65
1/7/2013,12496.1
1/7/2013,12477.96
1/7/2013,12113.27
1/7/2013,12186.02
1/7/2013,12852.25
1/7/2013,13817.21
1/7/2013,15275.32
1/7/2013,16401.07
1/7/2013,16529.83
1/7/2013,16507.31
1/7/2013,16515.61
1/7/2013,16430.63
1/7/2013,16249.63
1/7/2013,16134.31
1/7/2013,15989.95
1/7/2013,16109.26
1/7/2013,17012.56
1/7/2013,18511.22
1/7/2013,18625.74
1/7/2013,18374.71
1/7/2013,17707.62
1/7/2013,16596.36
1/7/2013,15156.89
1/7/2013,13804.92
1/8/2013,12961.9
1/8/2013,12631.94
1/8/2013,12822.77
1/8/2013,12690.4
1/8/2013,13157.32
1/8/2013,14028.94
1/8/2013,15779.85
1/8/2013,16871.53
1/8/2013,16857.07
1/8/2013,16703.32
1/8/2013,16538.68
1/8/2013,16358.35
1/8/2013,16093.08
1/8/2013,15973.13
1/8/2013,15800.18
1/8/2013,15863.56
1/8/2013,16852.74
1/8/2013,18312.07
1/8/2013,18328.43
1/8/2013,17917.56
1/8/2013,17218.44
1/8/2013,16105.66
1/8/2013,14593.45
1/8/2013,13507.8
1/9/2013,12850
1/9/2013,12512.29
1/9/2013,12349.16
1/9/2013,12409.04
1/9/2013,12658.55
1/9/2013,13883.28
1/9/2013,15554.55
1/9/2013,16740.65
1/9/2013,16806.15
1/9/2013,16760.72
